DB Version,Assembly Accession,Chromosome/Plasmid Name,Chromosome/Plasmid Xref,PGD Gene ID,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Gene synonyns,Product Name,Product Name Confidence Class,Product Synonyms,RefSeq Accession,Length (nucleotides),Length (amino acids),Molecular Weight (predicted),Isoelectric Point (predicted),Subcellular Localization [Confidence Class]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134012,PA0001,CDS,483,2027,+,dnaA,,chromosomal replication initiator protein DnaA,Class 2,,NP_064721.1 ; WP_003109151.1,1545,515,57.7,8.88,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134018,PA0002,CDS,2056,3159,+,dnaN,,"DNA polymerase III, beta chain",Class 2,,NP_064722.1 ; WP_003097262.1,1104,368,40.7,4.89,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134020,PA0003,CDS,3169,4278,+,recF,,RecF protein,Class 2,,NP_064723.1 ; WP_003097265.1,1110,370,41.5,8.15,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134022,PA0004,CDS,4275,6695,+,gyrB,,DNA gyrase subunit B,Class 2,,NP_064724.1 ; WP_003097268.1,2421,807,90.2,5.74,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134024,PA0005,CDS,7018,7791,-,lptA,plsC,"lysophosphatidic acid acyltransferase, LptA",Class 1,"lysophosphatidic acid acyltransferase, LptA",NP_064725.1 ; WP_003100265.1,774,258,28.7,10.23,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134014,PA0006,CDS,7803,8339,-,,yaeD,conserved hypothetical protein,Class 4,,NP_064726.1 ; WP_003120688.1,537,179,19.1,4.49,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134016,PA0007,CDS,8671,10377,+,,,hypothetical protein,Class 4,,NP_064727.1 ; WP_003114647.1,1707,569,61.8,7.91,Unknown (This protein may have multiple localization sites) [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134026,PA0008,CDS,10434,12488,-,glyS,,glycyl-tRNA synthetase beta chain,Class 2,,NP_064728.1 ; WP_003114646.1,2055,685,74,4.84,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134030,PA0009,CDS,12488,13435,-,glyQ,,glycyl-tRNA synthetase alpha chain,Class 2,,NP_064729.1 ; WP_003097276.1,948,316,36.1,4.7,Cytoplasmic [Class 2] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD134032,PA0010,CDS,13540,14091,+,tag,,DNA-3-methyladenine glycosidase I,Class 2,,NP_248700.1 ; WP_003097280.1,552,184,20.8,4.63,Cytoplasmic [Class 3]
